show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s1,Movie,3 Idiots,Rajkumar Hirani,Aamir Khan,India,January 1 2020,2009,PG-13,170 min,"Drama, Comedy"
s2,TV Show,Stranger Things,,Millie Bobby Brown,United States,July 15 2021,2016,TV-14,3 Seasons,"Drama, Sci-Fi"
s3,Movie,Extraction,Sam Hargrave,Chris Hemsworth,United States,April 24 2020,2020,R,116 min,"Action, Thriller"
s4,Movie,Dangal,Nitesh Tiwari,Aamir Khan,India,March 10 2019,2016,PG,161 min,"Drama, Sports"
s5,TV Show,Money Heist,,Alvaro Morte,Spain,September 1 2020,2017,TV-MA,5 Seasons,"Crime, Thriller"
s6,Movie,Inception,Christopher Nolan,Leonardo DiCaprio,United States,August 1 2020,2010,PG-13,148 min,"Sci-Fi, Thriller"
s7,Movie,PK,Rajkumar Hirani,Aamir Khan,India,May 10 2019,2014,PG,153 min,"Comedy, Drama"
s8,TV Show,Dark,,Louis Hofmann,Germany,June 21 2020,2017,TV-MA,3 Seasons,"Sci-Fi, Mystery"
s9,Movie,Bahubali,S.S. Rajamouli,Prabhas,India,July 10 2018,2015,PG-13,159 min,"Action, Drama"
s10,TV Show,Friends,,Jennifer Aniston,United States,January 1 2020,1994,TV-14,10 Seasons,"Comedy, Romance"
s11,Movie,War,,Hrithik Roshan,India,January 5 2020,2019,PG-13,150 min,"Action, Thriller"
s12,Movie,Avengers Endgame,,Robert Downey Jr,United States,April 26 2019,2019,PG-13,181 min,"Action, Sci-Fi"
s13,TV Show,Sacred Games,,Nawazuddin Siddiqui,India,July 6 2018,2018,TV-MA,2 Seasons,"Crime, Drama"
s14,Movie,The Dark Knight,,Christian Bale,United States,July 18 2008,2008,PG-13,152 min,"Action, Crime"
s15,TV Show,The Witcher,,Henry Cavill,United States,December 20 2019,2019,TV-MA,2 Seasons,"Fantasy, Drama"
s16,Movie,Zindagi Na Milegi Dobara,,Hrithik Roshan,India,July 15 2011,2011,PG-13,155 min,"Drama, Comedy"
s17,Movie,Interstellar,,Matthew McConaughey,United States,November 7 2014,2014,PG-13,169 min,"Sci-Fi, Drama"
s18,TV Show,Mirzapur,,Pankaj Tripathi,India,November 16 2018,2018,TV-MA,2 Seasons,"Crime, Thriller"
s19,Movie,Batman Begins,,Christian Bale,United States,June 15 2005,2005,PG-13,140 min,"Action, Drama"
s20,TV Show,Breaking Bad,,Bryan Cranston,United States,January 20 2008,2008,TV-MA,5 Seasons,"Crime, Drama"
s21,Movie,Sultan,,Salman Khan,India,July 6 2016,2016,PG-13,170 min,"Drama, Sports"
s22,Movie,3 Idiots 2,,Aamir Khan,India,January 1 2021,2021,PG-13,165 min,"Drama, Comedy"
s23,TV Show,Friends Reunion,,Jennifer Aniston,United States,May 27 2021,2021,TV-14,1 Season,"Comedy, Romance"
s24,Movie,Doctor Strange,,Benedict Cumberbatch,United States,November 4 2016,2016,PG-13,115 min,"Action, Fantasy"
s25,Movie,KGF,,Yash,India,December 21 2018,2018,PG-13,156 min,"Action, Drama"
s26,TV Show,Delhi Crime,,Shefali Shah,India,March 22 2019,2019,TV-MA,1 Season,"Crime, Drama"
s27,Movie,Shershaah,,Sidharth Malhotra,India,August 12 2021,2021,PG-13,135 min,"War, Drama"
s28,Movie,RRR,,Ram Charan,India,March 25 2022,2022,PG-13,182 min,"Action, Drama"
s29,TV Show,Loki,,Tom Hiddleston,United States,June 9 2021,2021,TV-14,2 Seasons,"Sci-Fi, Fantasy"
s30,Movie,Joker,,Joaquin Phoenix,United States,October 4 2019,2019,R,122 min,"Drama, Crime"
